page,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn
97,MEXICO,ALAMOGORDO RESERVOIR,DE RACA. GUADALUPE,3501,IMPOUNDMENT,11370.1,13.49,3.1,2.77,1.7,108,NA,0.8,0.025,0.003,0.05,0.32
98,MEXICO,CONCHAS RESERVOIR,SAN MIGUEL,3503,IMPOUNDMENT,NA,38.83,11.8,4.76,3,152,751,1.2,NA,0.02,0.004,0.04
99,MEXICO,EAGLE NEST LAKE,COLFAX,3504,IMPOUNDMENT,432.5,NA,9.9,0.58,5.3,149,275,1.1,0.181,0.132,0.07,0.52
100,MExICO,ELEPHANT BUTTE RESERVOIR,SIERRA. SOCORRO,3505,IMPOUNUMENT,76275.4,148.05,18.3,38.31,2.2,133,600,0.6,0.083,0.052,0.11,0.44
101,MExIco,EL VADO RESERVOIR,R10 ARRIDA,3505,IMPOUNDMENT,2012.4,13.07,10.3,0.53,325,0,170,0,0.034,0.014,0.14,0.42
102,MExIcO,LAKE MCMILLAN,EDDY,3507,IMPOUNDMENT,44004.1,23.05,2.1,6.95,1,104,NA,0.3,0.097,0.009,0.045,0.47
103,MExICO,UTE RESERVOIR,OUAY,3509,IMPOUNOMENT,28852.6,16.79,8,3.02,1.4,274,843,1.3,0.021,0.004,0.04,0.42
104,OREGON,DRORNLEE RESERVOIR IEUTROPHIC),"RAKER. OR, MASMINGTON. ID",4101,IMPOUNUMENT,188033.9,56.66,31.6,535.556,39,137,309,1.5,0.079,0.043,0.55,0.91
105,OREGON,DIAMOND LAKE,DOUGLAS,4102,NATURAL,NA,13,6.9,NA,NA,22,25,5.2,0.023,0.011,0.04,0.37
106,OREGON,HELLS CANYON RESERVOIR,"BAKER. NALLONA. 0R, ADAMS. IDAHO. ID",4103,IMPOUNDMENT,NA,10.12,20.4,553.95,4,138,263,1.8,0.068,0.045,0.64,0.83
107,OREGON,RILLS CREEK RESERVOIR,LANE,AIDA,IMPOONDMENT,1007.5,11.07,39.2,33.04,152,25,35,1,0.03,0.027,0,0.23
108,OREGON,LAKE OMYHEE IEUTROPHICT,HALHEUR,4105,IMPOUNOMENT,NA,56.25,24.6,27.18,1.7,83,150,0.5,0.095,0.064,0.425,0.78
109,OREGON,OXBOH RESERVOIR,NA,4106,IMPOUNDMENT,188810.9,5.66,11.4,532.66,1,131,265,1.9,0.071,0.04,0.69,0.91
110,OREGON,SUTTLE LAKE,JEFFERSON,4107,NATURAL,57.5,1.09,9.9,1.447,37,27,47,10.3,0.031,0.02,0.04,0.22
111,OREGON,HALDO LAKE,LANE,4108,NATURAL,NA,26.7,NA,NA,21.2,10,3,15.2,0.005,0.006,0.04,0.22
112,UTAH,NA,RICH. UTi BEAR LAKE. ID .,4901,-,NA,1030.8,171.59,10.2,2.546,374,NA,6.3,0.011,0.003,0.04,0.22
113,UTAM,DEER CREEK RESERVOIR,VASATCR,4903,IMPOUNDMENT,1450.4,NA,19.9,10.676,211,142,303,1.8,0.038,0.006,0.215,0.585
114,UTAH,ECHO RESERVOIR,SUMMIT,4904,IMPOUNDMENT,NA,5.95,15.3,7.687,134,172,333,1.3,0.047,0.012,0.17,0.46
115,UTAH,FISH LAKE,SEVIER,A905,NATURAL,57,10.12,25.9,0.143,58.5,53,87,8.8,0.023,0.004,0.04,0.42
116,UTAH,HUNTINGTON LAKE,EMERY,A907,NATURAL,NA,0.93,5.2,NA,NA,161,394,2.7,0.013,0.005,0.04,0.42
117,UTAH,LOwER ROHNS RESERVOIR,GARFIELD,A902,IMPOUNDMENT,NA,NA,0.1,NA,NA,70,120,4.2,0.031,0.006,0.04,0.53
118,UTAH,LYNN RESERVOIR,BOX ELDER,4905,IMPOUNDMENT,NA,NA,NA,NA,NA,144,318,2.1,0.121,0.052,0.2,0.44
119,UTAH,MINERSVILLE RESERVOIR,BEAVER,4909,IMPOUNDMENT,1320.9,4.01,5.6,1.037,266,284,550,1.4,0.192,0.107,0.06,1.07
120,UTAH,MOON LAKE,DUCHESNE,4910,NATURAL,NA,3.12,14.1,3.826,140,10,17,3,0.008,0.002,0.04,0.32
121,UTAH,NAVAJO LAKE,KANE,4911,NATURAL,NA,2.5,3.7,NA,NA,67,99,3.3,0.016,0.003,0.04,0.47
122,UTAH,NERCASTLE RESERVOIR,IRON,4912,IMPOUNDMENT,NA,0.66,7.2,NA,NA,195,573,1.8,0.051,0.009,0.04,0.47
123,UTAH,OTTER CREEK RESERVOIR IEUTROPHIC),PIUTE .,4913,IMPOUNDMENT,NA,10.2,6.3,1.613,1.4,187,365,1.2,0.067,0.033,0.04,0.42
124,UTAH,PANGUITCH LAKE,GARFIELD,4914,NATURAL,121.7,4.99,6.4,0.748,2.2,98,172,1.9,0.071,0.01,0.04,1.02
125,UTAH,PELICAN LAKE,UINTAH .,4915,NATURAL,25.9,6.88,3,0.126,36.8,282,897,1.6,0.044,0.004,0.05,0.92
126,UTAH,PINEVIER RESERVOIR,HEBER,4916,IMPOUNDMENT,802.9,10.12,13.4,6.343,248,110,197,1.6,0.028,0.006,0.3,0.74
127,UTAH,PIUTE RESERVOIR,PIUTE,4917,IMPOUNDMENT,NA,10.15,10.1,4.917,239,269,394,0.4,0.047,0.007,0.15,0.68
128,UTAH,PORCUPINE RESERVOIR,CACHE,4918,IMPOUNDMENT,NA,0.77,20.1,NA,NA,163,238,1.5,0.025,0.011,0.11,0.41
129,UTAH,PRUESS LAKE,MILLARD,A919,NATURAL,NA,NA,5.8,NA,NA,455,NA,0.2,0.057,0.008,NA,0.14
130,UTAH,SEVIER RRIDGE RESERVOIR,JUAD. SANPETE,A920,IMPOUNDMENT,13260.8,44.52,6.5,5.923,1.6,369,NA,1.3,0.026,0.003,0.355,1.01
131,UTAH,STARVATION RESERVOIR,DUCHESNE,4921,NA NA NA NA NA NA,NA,NA,NA,NA,NA,290,523,2.7,0.016,0.004,0.06,0.32
132,UTAH,STEINARER RESERVOIR,UINTAH,4922,IMPOUNDMENT,54,3.32,14,0.004,2,100,238,NA,4.7,0.011,0.005,0.04
133,UTAH,UTAH LAKE,UTAH,4924,NATURAL,6876.4,NA,2.1,17.18,2.5,166,1118,NA,0.2,0.132,0.012,0.32
134,UTAH,HILLARD RESERVOIR,80x ELDER,4925,IMPOUNDMENT,62.2,40.47,5.9,2.57,3.3,NA,-171,NA,1.1,0.044,0.009,0.06
135,WASHINGTON,AMERICAN LAKE,PIERCE,5301,NATURAL,65.8,4.7,15.4,0.16,38.2,41,69,4,0.027,0.007,0.105,0.45
136,HASHINGTON,NA,GRANT. DOUGLAS,5302,IMPOUNDMENT,NA,100.77,12.4,NA,175,60,120,3.4,0.021,0.007,0.04,0.22
137,HASHINGTON,LAKE CHELAN,cHELAN,5303,NATURAL,NA,133,NA,61.94,NA,21,37,9.9,0.005,0.003,0.07,0.25
138,MASHINGTON,DIAMOND LAKE,PEND OREILLE,5304,NATURAL,NA,3.07,3.1,NA,NA,38,53,5,0.014,0.01,0.06,0.53
139,HASHINGTON,KEECHELUS LAKE,KITTITAS,5306,IMPOUNDMENT,141.7,10.3,18.7,10.2,220,NA,24,NA,5.6,NA,0.007,0.002
140,HASHINGTON,MEDICAL LAKE,SPOKANE,S308,NATURAL,NA,0.64,9.7,NA,NA,1380,1479,2.5,0.275,0.166,0.225,2.9
141,UASHINGTUN,MOSES LAKE,GRANT,5309,IMPOUNDMENT,NA,27.58,5.9,4.56,289,183,377,0.9,0.115,0.033,0.15,1.04
142,MASMINGTON,OZETTE LAKE,CLALLAM,S310,NAIURAL,NA,NA,39.6,NA,NA,10,29,2.5,0.01,0.009,0.11,0.29
143,HASHINGTON,SAMMAMISH LAKE,KING,5311,NATURAL,253,NA,17.7,6.41,1.8,39,81,3.2,0.015,0.006,0.21,0.54
144,MASHINGTON,LAKE HHATCOM IMESOTROPHIC),HHATCOH,5312,NATURAL,145.3,20.25,1.8,4.77,NA,NA,17,39,5.4,0.009,0.009,0.32
145,HASHINGTON,LOdER GRANITE RESERVOIR,GARFIELD. wHITMAN ',5313,IMPOUNDHENT,NA,36.42,13.7,NA,NA,NA,140,NA,0.033,0.022,0.15,0.33
146,RYOMING,BOULDER LAKF,SUMLETTE,5602,NATURAL,336.7,7.03,12.2,5.724,181,16,3,3.5,0.003,0.002,0.04,0.235
147,HYOMING,BOYSEN RESERVOIR,FREMONT,5603,IMPOUNDMENT,NA,NA,10.4,45.717,270,129,454,0.9,NA,0.014,0.14,0.34
148,RYOMING,LAKE DE SMET,JOHNSON,580A,IMPDUNDMENT,25.9,10.74,12.8,0.167,NA,167,629,2.3,0.033,0.006,0.04,0.62
149,RYDMING,—EUTR0PMIC),"SREETRATER. RY, DAGGETT. UT",5605,IMPDUNDMENT,NA,137.67,33.9,66.182,2.3,160,514,3.4,0.014,0.003,0.605,0.9
150,RYOMING,GLENDO RESERVOIR,CONVERSE. PLATTE,5607,IMPOUNDMENT,50523.1,53.97,18.3,47.113,264,148,525,NA,1,0.045,0.014,0.315
151,RYOMING,KEYMOLE RESERVOIR,CROOK,S608,IMPOUNDMENT,5180,38.02,6.5,0.826,15.2,170,668,1.1,0.028,0.004,0.05,0.62
152,UYUMING,OCEAN LAKE,FREMONT,5609,NATURAL,NA,24.68,4.2,1.205,NA,200,1400,0.5,0.043,0.004,0.04,0.82
153,WYOMING,SEMINOE RESERVOIR,CARBON,5610,IMPOUNUMENT,NA,48.77,25.6,43.309,342,107,334,1.3,0.03,0.007,0.13,0.48
154,HYOHING,SODA LAKE,SURLETTE,5511,',NA,NA,NA,NA,NA,2090,2472,NA,0.063,0.014,0.04,2.52
155,HYOMING,VIVA NAUGRTON RESERVOIR,LINCOLN,S612,IMROUNDMENT,624.2,5.9,8.9,3.923,170,145,241,1.8,0.065,0.024,0.12,0.64
156,MYOMING,WOODRUFF NARROWS RES TEUTROPHIC),UINTA,5613,IMPOUNDMENT,2030.6,7.08,4.9,7.069,58,142,229,0.8,0.069,0.019,0.105,0.62
