"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"DELAMARE","TRUSSUM POND","SUSSEX","1010","IMPOUNDMENT",38.6,0.22,1.2,0.53,6,10,70,0.9,0.033,0.011,1.23,1.8,NA,NA,1,300,301,NA,NA,20,36640,36660,250,NA,1.73,27560,NA,166.6
"FLORIDA","ALLIGATOR LAKE","COLUMBIA","1201","NATURAL",NA,NA,1.37,1.5,0.4,NA,NA,0.7,NA,NA,386,0.26,NA,15130,NA,5,6290,43365,NA,160,NA,33235,11375,45,15.64,43140,40,60.8
"FLORIDA","CRESCENT","FLAGLER. PUTNAM","1206","NATURAL",NA,70.61,2,10.66,153,18,360,0.7,0.065,0.033,0.13,1.27,NA,NA,15,65345,67325,5895,NA,585,655330,661810,33775,50,0.95,NA,17,9.4
"FLORIDA","LAKE DORA","LAKE","1208","NATURAL",613.8,22.37,3,3.51,221,105,320,0.4,0.102,0.022,0.24,3.29,2270,NA,55,38690,41015,6800,NA,2155,NA,423890,12450,70,1.33,312365,26,18.9
"IN-FLORIDA","LAKE ELOISE","POLK","1252","NATURAL",14,NA,4.69,NA,0.05,82,NA,390,0.9,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA
"FLORIDA","LAME GEORGE IEUTRDPHICI","PUTNAM.VOLUSIA","1210","NATURAL",NA,136.16,3,110.61,53,NA,NA,1150,0.3,0.129,0.063,0.165,14100,NA,45,610725,624370,35200,NA,1665,NA,12675735,561005,10,3.36,6365460,NA,46
"FLORIDA","LAAE GIBSON IEUTROPHICI '","POLK","1211","NATURAL",11.2,1.92,2,0.03,1.7,13,153,0.3,0.167,0.069,0.115,1.25,575,NA,NA,1090,1665,NA,1730,NA,75,6235,420,75,0.37,NA,51,4.2
"FLORIDA","GLENADA LAKE","HIGHLANDS","1212","NATURAL",NA,0.72,4.5,NA,NA,15,112,1.2,0.134,0.072,0.165,1.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLORIDA","LANE HAINES","POLK","1215","NATURAL",21.2,2.9,2.5,0.08,2.9,NA,210,0.9,0.063,0.014,0.115,1.09,NA,NA,NA,460,NA,NA,NA,255,42670,45155,165,92,0.68,4080,91,15.6
"IN‘FLORIDA","MORSESMOE LAKE","SEMINOLE .","1219'","NAIURAL",NA,NA,0.33,1.2,NA,10,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLORIDA",NA,"HIGHLANDS ' _ ,","NORKING","NATURAL",NA,NA,1.8,15.03,155,10,120,NA,0.9,NA,0.01,NA,2520,NA,45,NA,33615,NA,NA,NA,NA,588835,25570,24,0.3,567575,5,5.3
"FLORIDA","LAKE JESSIE '",NA,"1258","NATURAL",NA,0.77,2,0.11,162,42,198,1.2,0.051,0.011,0.09,0.89,40,NA,NA,2460,2500,125,NA,NA,7140,7265,NA,160.9,94,NA,59,9.4
"FLORIDA","LAKE KISSIMMEE IEUTROPHIC)","OSCEOLA '","1224","NATURAL",NA,141.4,1,33.4,0,19,110,0.9,0.034,0.007,0.145,1.515,NA,NA,5,63760,63765,NA,NA,100,1055550,1855730,36065,42,0.45,1470035,20,13.1
"FLORIDA","LAHNE LAKE","ORANGE . 0","1249","NATURAL",NA,10.7,NA,1.1,0.22,32,NA,NA,225,0.2,2.56,0.117,410,NA,NA,5,NA,NA,NA,1805,NA,85,2830,70,15.02,16220,54,55.9
"FLORIDA","LAKE LULU tEUTROPHICI","POLK","1227","NATURAL",20.1,1.22,1.5,0.09,235,74,342,0.4,1.49,1.03,1.065,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLORIDA","LAKE MARION","POLK","I228","NATURAL",NA,12.82,1.3,0.82,235,34,131,0.8,0.044,0.016,0.26,2.22,NA,NA,20,1840,1860,NA,NA,790,62750,63540,1065,43,0.15,54375,14,5
